38 Provinsi,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2023
ACEH,11923,13147,13849.8,14578,11208,10242,14096,28825,19507,38618,36712,52870,58918,46404,53800,62168,61887,64782,51686,65308,72920,72920
SUMATERA UTARA,3952,7422.3,13429.2,9918,17542,19439,30379,41653,35449,48362,36945,33895,39656,29801,31727,39825,49246,61160,78663,87012,86880,86880
SUMATERA BARAT,2145,1323.9,2192,2178,2828,5134,5746,6665,10106,7435,7120,7407,11696,17567,22872,25178,31782,33356,35118,26656,25081,25081
RIAU,368,1810,2082,3420,4025,2520,3469,4333,5329,5953,6420,6253,4562,6643,10902,12691,8120,8627,6694,7429,6607,6607
JAMBI,703,1148.3,1262.8,2517,2814,2966,4036,5149,5258,4380,13348,6765,6574,10631,8352,8273,9880,13588,11526,12429,16087,16087
SUMATERA SELATAN,2410,2821.2,2769.2,3388,3562,5792,7865,9806,4501,4974,3992,3867,3303,9270,15826,13449,11014,11645,11562,9461,7766,7766
BENGKULU,1291,3564.3,3791.1,5838,4979,7543,7565,12694,11742,11281,12927,8919,7104,7717,7823,11353,11118,11476,16278,21427,22546,22546
LAMPUNG,1626,3714.6,5078.9,4194,7395,7392,8022,9916,18365,14309,13340,15002,14728,12938,14705,14649,12796,10558,10921,11193,14070,14070
KEP. BANGKA BELITUNG,445,365.8,2232,1611,2921,2640,2792,2989,3292,2875,3351,3100,2400,1917,1729,2036,2002,3386,3954,3710,5508,5508
KEP. RIAU,-,0,-,159,1647,1794,1591,1441,968,1103,926,1119,952,800,1061,1716,2339,2230,1627,1773,1245,1245
DKI JAKARTA,1,9.1,28,29,4,2,0,0,0,0,0,0,0,0,8,-,0,0,1,0,1,1
JAWA BARAT,50819,51929.8,69026,73303,79716,73262,106304,78906,105237,90524,123755,115832,112636,101542,134910,131417,128494,130838,137456,149053,163989,163989
JAWA TENGAH,29906,37609,42977.6,44342,48812,50662,80936,60399,65227,85000,85361,107953,149991,151060,148139,141771,148750,159099,179287,242303,249208,249208
DI YOGYAKARTA,2018,3124.9,2829.8,1725,1826,1618,1893,2056,2163,2320,3228,3168,3277,3898,8386,10147,10040,15052,15933,15198,21384,21384
JAWA TIMUR,115270,139840,142910.4,160486,140550,130490,177796,142109,181806,244040,227486,238821,250009,260805,339022,453338,536098,684943,578883,646740,562816,562816
BANTEN,30,3091,2146.8,2098,3111,2392,2352,2797,3092,5184,4231,4881,4651,4498,4572,5225,5019,5861,3993,3910,3227,3227
BALI,18112,21822.4,13858.1,12800,14676,14713,14507,11826,17055,16041,20425,28440,31248,38358,31464,31655,28656,35331,29175,28318,20523,20523
NUSA TENGGARA BARAT,28473,38511.2,22649.8,45091,36994,40977,34837,13090,19666,29700,28927,64013,73526,96996,156922,210530,164773,98941,62539,50078,67963,67963
NUSA TENGGARA TIMUR,1019,1284.2,1491.3,2083,3924,7032,5640,3331,3209,4521,3333,2608,2436,3910,5228,5248,8816,10468,9076,19881,9074,9074
KALIMANTAN BARAT,3797,3776,5901.1,5487,4240,4861,7206,4372,6426,5474,5620,4563,4683,4754,4719,4166,5731,6133,6332,6193,8278,8278
KALIMANTAN TENGAH,1866,2265.5,2705.3,3237,3480,5656,5856,2514,2974,2874,3885,4116,3239,2845,2774,3639,5864,6124,6961,5419,6969,6969
KALIMANTAN SELATAN,802,1153.6,2440.8,4449,6125,5834,3607,3191,2506,2194,2625,3606,4789,7322,11849,12672,13768,15616,11758,11764,13255,13255
KALIMANTAN TIMUR,1836,12029,7943.7,8446,7731,9784,8653,7721,7023,7168,7251,8118,5687,5322,6040,6797,8029,9081,8367,7778,7470,7470
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-,-,-,-,1920,2997,2707,3298,3821,3330,5819,5875,6371,6371
SULAWESI UTARA,2448,8868.9,8498.1,2902,5661,5836,12901,9150,9180,9656,8461,8487,8284,12784,16915,16470,14760,22414,17371,19006,17978,17978
SULAWESI TENGAH,990,2427.7,2295.7,6232,3928,5059,5435,9957,14818,10158,7660,12520,15924,11635,21230,26091,22632,25042,22199,25389,21552,21552
SULAWESI SELATAN,3809,8180.3,9395.4,9580,8725,11443,9663,14429,15913,20672,18006,20794,26571,27543,45770,36568,26115,24052,26423,23761,28418,28418
SULAWESI TENGGARA,527,2075.9,718,1577,1488,917,2601,4952,2848,4086,4869,6820,3594,8074,3313,4485,3669,3801,4287,3915,4529,4529
GORONTALO,5377,9707.3,9000,10939,10024,11260,14690,17001,10869,11834,12523,11771,8232,11550,25126,25695,20580,14729,13032,14805,15523,15523
SULAWESI BARAT,-,-,-,1971,2368,956,1590,2004,1864,2168,1974,2288,1412,2496,2651,2659,2663,1399,3336,3496,3710,3710
MALUKU,11,123,818.1,1595,1907,618,244,768,1656,2030,3495,2917,2849,3355,4039,3733,3440,5027,3596,3847,4531,4531
MALUKU UTARA,340,659,542,565,553,1082,290,362,504,523,838,5174,2266,1307,1262,1097,4650,4527,3733,2873,3717,3717
PAPUA BARAT,-,-,400,254,-,678,2339,3122,1643,1652,831,749,324,1304,889,625,3277,2351,3808,4107,3010,3010
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,0,-,1030.2,2091,-,6805,6457,4176,4031,5143,3637,3648,2513,7954,6425,6944,4388,3436,5054,4335,4556,4556
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
